,NIFTY09MAR2317750CE,,,,NIFTY29MAR2317800PE,,,,,,,,,indi l1 tgt,indi l1 sl,,indi l2 tgt,inidi l2sl,,oral tgt,oral sl,,oral tgt,oral sl
time,open,high,low,close,open,high,low,close,,,,,,,,,,,,,,,,
10:00:00,28.4,29.35,28.3,28.55,220.8,221.4,218.95,220.3,,l1 ent,l2 ent,invested,,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,FALSE
10:01:00,28.6,28.65,25.45,25.9,220.3,225,220.3,224.35,,28.4,220.8,249.2,,FALSE,FALSE,,FALSE,FALSE,,,,,FALSE,FALSE
10:02:00,25.75,30.9,24.75,30.9,223.8,225.8,216.55,216.55,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:03:00,31.1,33.3,29.25,29.85,216.45,218.75,213.1,218.75,,l1 tgt,l2 tgt,oral tgt,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:04:00,29.85,31.6,29.75,31.35,217.65,219,217,218.1,,10,10,50,,FALSE,FALSE,,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE
10:05:00,31.35,32.3,30.6,31.2,218.1,218.1,215.6,217.3,,l1 sl,l2 sl,oral sl,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:06:00,31.3,33.25,30.3,30.9,217,219.1,215,217.9,,4,4,20,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:07:00,30.9,35.05,29.95,35.05,217.9,219.45,215,215,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:08:00,35.1,38.95,35.1,35.6,215,215,210.9,212.75,,l1 tgt,l2 tgt,,,TRUE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:09:00,35.6,36.6,31.8,32.25,212.75,217.2,212.4,216.8,,38.4,230.8,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:10:00,32.3,33.2,28.75,31.8,216.8,221.25,215.5,216.35,,l1 sl,l2 sl,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:11:00,31.95,34.8,31.9,33.25,216.85,217.05,214,215.2,,24.4,216.8,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:12:00,33.4,35.2,31.9,34.45,215.65,217.9,215,215.8,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:13:00,35,36.5,34.35,35.55,215.25,215.25,212.85,214.8,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:14:00,35.45,36,33.15,33.8,214.8,217.65,214.2,215,,tot oral tgt,tot oral sl,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:15:00,33.65,34,32.45,32.65,216.35,217.6,216.35,219.05,,299.2,229.2,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:16:00,31.45,33.5,31,31.1,218.8,220,216.75,220,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:17:00,31.25,33.6,30.55,33.25,220,220,217,217.15,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE
10:18:00,33.25,33.25,31,32.3,217.15,219.8,216.85,218.15,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE
10:19:00,32.35,32.85,30.8,31.05,218.15,219.75,217.4,219.75,,,,,,FALSE,FALSE,,FALSE,FALSE,,FALSE,TRUE,,FALSE,FALSE
10:20:00,32.2,34.25,31.7,34.25,218,218.35,214.9,214.9,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:21:00,34.4,36.8,33.85,36.8,214.9,214.9,211.45,211.45,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:22:00,36.95,37.95,35.85,35.9,211.45,211.55,209.7,211.55,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:23:00,35.8,36.2,33.6,34.8,211.55,213.65,211.25,213.25,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:24:00,34.75,35.95,33.6,34.15,213.95,215,212.05,215,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:25:00,33.85,35.95,33.85,35.25,215,215,212.25,212.9,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:26:00,35.6,36.35,35.4,36.35,213.35,213.4,211.95,212.4,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:27:00,36.35,38.25,34.95,38.25,212.4,213.45,209.75,210.05,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:28:00,38.05,38.45,36.15,37.25,210.05,212,209.45,211.25,,,,,,TRUE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:29:00,37.35,37.55,32.4,32.4,211.25,217.4,211,215.3,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:30:00,32.25,34.05,31.6,32.35,216.95,217.75,214.1,216.45,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:31:00,32.5,34.25,32.4,34.1,217.4,217.4,214.5,214.5,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:32:00,34.45,38.2,34.1,37.65,214.5,214.5,208.7,210.55,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:33:00,37.15,37.2,35.2,35.55,210.55,212.85,210.55,212,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:34:00,34.95,35.9,34.2,35.2,212,214.5,212,213.25,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:35:00,35.15,36.15,34.65,35.05,213.25,214,212,214,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:36:00,35.1,36.2,34.7,36.2,213.3,214.1,212.35,212.35,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
10:37:00,36.25,36.25,34.2,36,212.35,214.75,212,212,,,,,,FALSE,FALSE,,FALSE,TRUE,,FALSE,TRUE,,FALSE,FALSE
